id,title,outcome,featureArea,wave,targetRelease,dependsOn,acceptance,sourceRefs,decisionRefs,riskEvidenceNeeds,status,evidenceRefs,platformId
RC-W01-T08,Approve the supported resource envelope,Researchers can approve the supported resource envelope.,study contract,1,0.1,"[""RC-W01-T01""]","Linux/Python identity, one-worker ceiling, aggregate study bound, no new dependencies and zero paid compute are recorded against observed capacity.","[""RC-001"", ""RC-002"", ""RC-015""]","[""OWNER-LAUNCH-2026-09-07"", ""NUMERICAL-001""]",Study changes after results or deterministic repeats presented as independent evidence; retain dated protocol and independent analytic checks.,IMPLEMENTED,"[""docs/decisions/001-numerical-study.md"", ""docs/decisions/002-durable-local-campaign.md"", ""examples/rosenbrock-study.json""]",tsk_6c2923b7e0c50c261b4d7dbc33fcd45f
RC-W01-T09,Define supported study customization,Researchers can define supported study customization.,study contract,1,0.1,"[""RC-W01-T01""]","Allowed bounded fields and fixed protocol fields are enumerated; unsupported expressions, policy names and oversized studies fail before execution.","[""RC-001"", ""RC-002"", ""RC-015""]","[""OWNER-LAUNCH-2026-09-07"", ""NUMERICAL-001""]",Study changes after results or deterministic repeats presented as independent evidence; retain dated protocol and independent analytic checks.,AUTOMATED PASS,"[""docs/decisions/001-numerical-study.md"", ""docs/decisions/002-durable-local-campaign.md"", ""examples/rosenbrock-study.json"", ""tests/test_numerical.py"", ""evidence/runtime/automated-checks.json""]",tsk_d1490f0a6213cae946523090033d9791
RC-W01-T10,Accept the executable study contract,Researchers can accept the executable study contract.,study contract,1,0.1,"[""RC-F03"", ""RC-W01-T01"", ""RC-W01-T02"", ""RC-W01-T03"", ""RC-W01-T04"", ""RC-W01-T05"", ""RC-W01-T06"", ""RC-W01-T07"", ""RC-W01-T08"", ""RC-W01-T09""]","The frozen example and decision agree on all policies, seeds, controls, limits and interpretation; numerical and coordinator owners review their interface before implementation.","[""RC-001"", ""RC-002"", ""RC-015""]","[""OWNER-LAUNCH-2026-09-07"", ""NUMERICAL-001""]",Study changes after results or deterministic repeats presented as independent evidence; retain dated protocol and independent analytic checks.,IMPLEMENTED,"[""docs/decisions/001-numerical-study.md"", ""docs/decisions/002-durable-local-campaign.md"", ""examples/rosenbrock-study.json""]",tsk_6055822fc13555c727864c2799fda001
RC-W02-T01,Validate immutable study records,Researchers can validate immutable study records.,coordinator and store,2,0.1,"[""RC-W01-T10""]","Strict parsing rejects unknown fields, booleans as numbers and invalid bounds; returned representations cannot mutate an accepted study.","[""RC-002"", ""RC-003"", ""RC-006""]","[""OWNER-LAUNCH-2026-09-07"", ""NUMERICAL-001""]","Lost debits, mutable accepted state or implied hostile-code isolation; fault probes and transaction-level assertions are required.",AUTOMATED PASS,"[""continuum/store.py"", ""tests/test_store.py"", ""evidence/runtime/automated-checks.json""]",tsk_63aebc644bb77ecda49bbe28c8120917
RC-W02-T02,Create durable campaign identity,Researchers can create durable campaign identity.,coordinator and store,2,0.1,"[""RC-W02-T01""]",Reopening a campaign preserves study identity and source version; attempts to attach a different study fail without replacing prior records.,"[""RC-002"", ""RC-003"", ""RC-006""]","[""OWNER-LAUNCH-2026-09-07"", ""NUMERICAL-001""]","Lost debits, mutable accepted state or implied hostile-code isolation; fault probes and transaction-level assertions are required.",RUNTIME VERIFIED,"[""continuum/store.py"", ""tests/test_store.py"", ""evidence/runtime/automated-checks.json"", ""evidence/runtime/default-study/evidence.json"", ""evidence/runtime/packaged-summary.json""]",tsk_cecac7460303c27b763a9d39c72f7ff9
RC-W02-T03,Link the compact research records,Researchers can link the compact research records.,coordinator and store,2,0.1,"[""RC-W02-T01"", ""RC-W02-T02""]","Question, hypothesis, study, trial, result and evaluation IDs resolve within one versioned campaign; a dangling reference is rejected.","[""RC-002"", ""RC-003"", ""RC-006""]","[""OWNER-LAUNCH-2026-09-07"", ""NUMERICAL-001""]","Lost debits, mutable accepted state or implied hostile-code isolation; fault probes and transaction-level assertions are required.",RUNTIME VERIFIED,"[""continuum/store.py"", ""tests/test_store.py"", ""evidence/runtime/automated-checks.json"", ""evidence/runtime/default-study/evidence.json"", ""evidence/runtime/packaged-summary.json""]",tsk_efd2e2cdbbb5caaf9a55e404fda21859
RC-W02-T04,Reserve capacity before any exploration,Researchers can reserve capacity before any exploration.,coordinator and store,2,0.1,"[""RC-W02-T01"", ""RC-W02-T02"", ""RC-W02-T03""]","Baseline, candidate, confirmation and reproduction allocations exist before the first admitted attempt; inadequate total capacity rejects campaign creation.","[""RC-002"", ""RC-003"", ""RC-006""]","[""OWNER-LAUNCH-2026-09-07"", ""NUMERICAL-001""]","Lost debits, mutable accepted state or implied hostile-code isolation; fault probes and transaction-level assertions are required.",RUNTIME VERIFIED,"[""continuum/store.py"", ""tests/test_store.py"", ""evidence/runtime/automated-checks.json"", ""evidence/runtime/default-study/evidence.json"", ""evidence/runtime/packaged-summary.json""]",tsk_776ebf8acea5989966072804aea3dc71
RC-W02-T05,Make admission and debit transactional,Researchers can make admission and debit transactional.,coordinator and store,2,0.1,"[""RC-W02-T01"", ""RC-W02-T02"", ""RC-W02-T04""]",Concurrent or repeated admission cannot overspend or allocate duplicate attempt IDs; an interrupted transaction leaves both reservation and attempt consistent.,"[""RC-002"", ""RC-003"", ""RC-006""]","[""OWNER-LAUNCH-2026-09-07"", ""NUMERICAL-001""]","Lost debits, mutable accepted state or implied hostile-code isolation; fault probes and transaction-level assertions are required.",AUTOMATED PASS,"[""continuum/store.py"", ""tests/test_store.py"", ""evidence/runtime/automated-checks.json""]",tsk_5b15fda0bceb2e105bca5f616bd61aca
RC-W02-T06,Charge failed attempts conservatively,Researchers can charge failed attempts conservatively.,coordinator and store,2,0.1,"[""RC-W02-T01"", ""RC-W02-T05""]",Full admission cost remains after crash while actual observations are reported separately; retrying never erases the first debit.,"[""RC-002"", ""RC-003"", ""RC-006""]","[""OWNER-LAUNCH-2026-09-07"", ""NUMERICAL-001""]","Lost debits, mutable accepted state or implied hostile-code isolation; fault probes and transaction-level assertions are required.",RUNTIME VERIFIED,"[""continuum/store.py"", ""tests/test_store.py"", ""evidence/runtime/automated-checks.json"", ""evidence/runtime/default-study/evidence.json"", ""evidence/runtime/packaged-summary.json""]",tsk_9788099b5042e34cb390a0f5e33d94b3
RC-W02-T07,Keep retry authority finite,Researchers can keep retry authority finite.,coordinator and store,2,0.1,"[""RC-W02-T01"", ""RC-W02-T05"", ""RC-W02-T06""]",Retry identity names the prior attempt and respects the frozen attempt cap; another retry after exhaustion is rejected and logged.,"[""RC-002"", ""RC-003"", ""RC-006""]","[""OWNER-LAUNCH-2026-09-07"", ""NUMERICAL-001""]","Lost debits, mutable accepted state or implied hostile-code isolation; fault probes and transaction-level assertions are required.",AUTOMATED PASS,"[""continuum/store.py"", ""tests/test_store.py"", ""evidence/runtime/automated-checks.json""]",tsk_62f61a18f075fa3abe5cbecf73d9e433
RC-W02-T08,Protect accepted state through the supported interface,Researchers can protect accepted state through the supported interface.,coordinator and store,2,0.1,"[""RC-W02-T01"", ""RC-W02-T04"", ""RC-W02-T05""]","Built-in policies receive points and own feedback only; a policy cannot request evaluator edits, ledger writes or reserve transfers through that interface.","[""RC-002"", ""RC-003"", ""RC-006""]","[""OWNER-LAUNCH-2026-09-07"", ""NUMERICAL-001""]","Lost debits, mutable accepted state or implied hostile-code isolation; fault probes and transaction-level assertions are required.",AUTOMATED PASS,"[""continuum/store.py"", ""tests/test_store.py"", ""evidence/runtime/automated-checks.json""]",tsk_bd66f6c6524f103480bf312f752cdf6c
RC-W02-T09,Make events append-only at the store API,Researchers can make events append-only at the store API.,coordinator and store,2,0.1,"[""RC-W02-T01"", ""RC-W02-T02"", ""RC-W02-T05""]",Attempts to replace terminal records or accepted study payloads are rejected; audit queries retain earlier failed and cancelled events.,"[""RC-002"", ""RC-003"", ""RC-006""]","[""OWNER-LAUNCH-2026-09-07"", ""NUMERICAL-001""]","Lost debits, mutable accepted state or implied hostile-code isolation; fault probes and transaction-level assertions are required.",AUTOMATED PASS,"[""continuum/store.py"", ""tests/test_store.py"", ""evidence/runtime/automated-checks.json""]",tsk_906d41fc39fb9fa4522040cba6d7e77e
RC-W02-T10,Close the campaign with reconciled authority,Researchers can close the campaign with reconciled authority.,coordinator and store,2,0.1,"[""RC-W01-T10"", ""RC-W02-T01"", ""RC-W02-T02"", ""RC-W02-T03"", ""RC-W02-T04"", ""RC-W02-T05"", ""RC-W02-T06"", ""RC-W02-T07"", ""RC-W02-T08"", ""RC-W02-T09""]",Budget totals reconcile with all admitted attempts and remaining reserves; terminal campaign states prevent further unauthorized admission.,"[""RC-002"", ""RC-003"", ""RC-006""]","[""OWNER-LAUNCH-2026-09-07"", ""NUMERICAL-001""]","Lost debits, mutable accepted state or implied hostile-code isolation; fault probes and transaction-level assertions are required.",RUNTIME VERIFIED,"[""continuum/store.py"", ""tests/test_store.py"", ""evidence/runtime/automated-checks.json"", ""evidence/runtime/default-study/evidence.json"", ""evidence/runtime/packaged-summary.json""]",tsk_5d23405b4fdb8e17f2a72b4d16c6153a
RC-W03-T01,Evaluate the original known-answer objective,Researchers can evaluate the original known-answer objective.,numerical execution,3,0.1,"[""RC-W02-T10""]","Actual computation yields zero at (1,1) and one at (0,0); non-finite and out-of-domain proposals are rejected before scoring.","[""RC-003"", ""RC-015"", ""RC-017""]","[""OWNER-LAUNCH-2026-09-07"", ""NUMERICAL-001""]","Wrong evaluation accounting, incomplete observations or tuned outcomes; replay point sequences and inspect all raw arm results.",RUNTIME VERIFIED,"[""tests/test_numerical.py"", ""tests/test_store.py"", ""evidence/runtime/automated-checks.json"", ""evidence/runtime/default-study/evidence.json"", ""evidence/runtime/default-study/summary.json""]",tsk_5295a5ee39bcee0c68719b02a9c7954b
RC-W03-T02,Execute seeded uniform random search,Researchers can execute seeded uniform random search.,numerical execution,3,0.1,"[""RC-W03-T01""]",Retained point and value sequences match independent seeded reconstruction and consume exactly the admitted observation allowance.,"[""RC-003"", ""RC-015"", ""RC-017""]","[""OWNER-LAUNCH-2026-09-07"", ""NUMERICAL-001""]","Wrong evaluation accounting, incomplete observations or tuned outcomes; replay point sequences and inspect all raw arm results.",RUNTIME VERIFIED,"[""tests/test_numerical.py"", ""tests/test_store.py"", ""evidence/runtime/automated-checks.json"", ""evidence/runtime/default-study/evidence.json"", ""evidence/runtime/default-study/summary.json""]",tsk_c882540ddd58f2a8c2bd03bd792db2f2
RC-W03-T03,Execute fixed coordinate refinement,Researchers can execute fixed coordinate refinement.,numerical execution,3,0.1,"[""RC-W03-T01""]","Ordered proposals obey the frozen update rule, count the initial point and boundary duplicates, and never consume extra evaluations.","[""RC-003"", ""RC-015"", ""RC-017""]","[""OWNER-LAUNCH-2026-09-07"", ""NUMERICAL-001""]","Wrong evaluation accounting, incomplete observations or tuned outcomes; replay point sequences and inspect all raw arm results.",RUNTIME VERIFIED,"[""tests/test_numerical.py"", ""tests/test_store.py"", ""evidence/runtime/automated-checks.json"", ""evidence/runtime/default-study/evidence.json"", ""evidence/runtime/default-study/summary.json""]",tsk_2ba1b34703f25f4a000068eb5eca22c1
RC-W03-T04,Enforce proposal and feedback sequencing,Researchers can enforce proposal and feedback sequencing.,numerical execution,3,0.1,"[""RC-W03-T01"", ""RC-W03-T02"", ""RC-W03-T03""]","Duplicate outstanding proposals, mismatched points and unsolicited feedback fail; reconstruction from valid observations yields the same next proposal.","[""RC-003"", ""RC-015"", ""RC-017""]","[""OWNER-LAUNCH-2026-09-07"", ""NUMERICAL-001""]","Wrong evaluation accounting, incomplete observations or tuned outcomes; replay point sequences and inspect all raw arm results.",AUTOMATED PASS,"[""tests/test_numerical.py"", ""tests/test_store.py"", ""evidence/runtime/automated-checks.json""]",tsk_2f285ea28a17501a5e700334d69d9893
RC-W03-T05,Retain complete observations and runtime identity,Researchers can retain complete observations and runtime identity.,numerical execution,3,0.1,"[""RC-W03-T01"", ""RC-W03-T02"", ""RC-W03-T03"", ""RC-W03-T04""]","Every evaluated point, objective, seed, adapter identity and measured runtime resolves to its attempt; missing observations invalidate a complete result.","[""RC-003"", ""RC-015"", ""RC-017""]","[""OWNER-LAUNCH-2026-09-07"", ""NUMERICAL-001""]","Wrong evaluation accounting, incomplete observations or tuned outcomes; replay point sequences and inspect all raw arm results.",RUNTIME VERIFIED,"[""tests/test_numerical.py"", ""tests/test_store.py"", ""evidence/runtime/automated-checks.json"", ""evidence/runtime/default-study/evidence.json"", ""evidence/runtime/default-study/summary.json""]",tsk_25a56ad1daaa35dce66335b40c0f3a48
RC-W03-T06,Run both arms in development and confirmation,Researchers can run both arms in development and confirmation.,numerical execution,3,0.1,"[""RC-W03-T01"", ""RC-W03-T02"", ""RC-W03-T03"", ""RC-W03-T04"", ""RC-W03-T05""]",All frozen seeds run each policy under equal admitted allowance; the result table includes failures and unfavorable outcomes without selection.,"[""RC-003"", ""RC-015"", ""RC-017""]","[""OWNER-LAUNCH-2026-09-07"", ""NUMERICAL-001""]","Wrong evaluation accounting, incomplete observations or tuned outcomes; replay point sequences and inspect all raw arm results.",RUNTIME VERIFIED,"[""tests/test_numerical.py"", ""tests/test_store.py"", ""evidence/runtime/automated-checks.json"", ""evidence/runtime/default-study/evidence.json"", ""evidence/runtime/default-study/summary.json""]",tsk_334b60ceb7641834cdcfc799bb02b713
RC-W03-T07,Enforce cancellation and elapsed-time limits,Researchers can enforce cancellation and elapsed-time limits.,numerical execution,3,0.1,"[""RC-W03-T01"", ""RC-W03-T05"", ""RC-W03-T06""]","A cancelled or over-time attempt terminates with explicit status, diagnostics and retained costs; it cannot be reported as completed.","[""RC-003"", ""RC-015"", ""RC-017""]","[""OWNER-LAUNCH-2026-09-07"", ""NUMERICAL-001""]","Wrong evaluation accounting, incomplete observations or tuned outcomes; replay point sequences and inspect all raw arm results.",AUTOMATED PASS,"[""tests/test_numerical.py"", ""tests/test_store.py"", ""evidence/runtime/automated-checks.json""]",tsk_3a1d73edf17251c9911f894ca54297f5
RC-W03-T08,Demonstrate a finite integrated comparison,Researchers can demonstrate a finite integrated comparison.,numerical execution,3,0.1,"[""RC-W02-T10"", ""RC-W03-T01"", ""RC-W03-T02"", ""RC-W03-T03"", ""RC-W03-T04"", ""RC-W03-T05"", ""RC-W03-T06"", ""RC-W03-T07""]",The real campaign reaches a terminal decision from actual evaluations within its resource envelope; no precomputed finding or optimizer-only output substitutes.,"[""RC-003"", ""RC-015"", ""RC-017""]","[""OWNER-LAUNCH-2026-09-07"", ""NUMERICAL-001""]","Wrong evaluation accounting, incomplete observations or tuned outcomes; replay point sequences and inspect all raw arm results.",RUNTIME VERIFIED,"[""tests/test_numerical.py"", ""tests/test_store.py"", ""evidence/runtime/automated-checks.json"", ""evidence/runtime/default-study/evidence.json"", ""evidence/runtime/default-study/summary.json""]",tsk_b1ac7640309f967f862a7e2e4ad34737
RC-W04-T01,Challenge evaluator validity controls,Researchers can challenge evaluator validity controls.,integrity and recovery,4,0.1,"[""RC-W03-T08""]","Independent positive, negative, non-finite, boolean and domain-escape probes produce named expected verdicts and actual call counts.","[""RC-005"", ""RC-006"", ""RC-010"", ""RC-011""]","[""OWNER-LAUNCH-2026-09-07"", ""NUMERICAL-001""]",Crash windows and false assurance from happy-path tests; use process termination and representative mutations on the actual candidate.,AUTOMATED PASS,"[""tests/test_store.py"", ""tests/test_evidence.py"", ""tests/test_cli.py"", ""evidence/runtime/automated-checks.json""]",tsk_457b3662228a4cd3586c15e9a46315c7
RC-W04-T02,Reject evaluator source or callable mutation,Researchers can reject evaluator source or callable mutation.,integrity and recovery,4,0.1,"[""RC-W04-T01""]",Modifying evaluator identity or replacing the objective makes execution fail closed on the next check and after restart.,"[""RC-005"", ""RC-006"", ""RC-010"", ""RC-011""]","[""OWNER-LAUNCH-2026-09-07"", ""NUMERICAL-001""]",Crash windows and false assurance from happy-path tests; use process termination and representative mutations on the actual candidate.,AUTOMATED PASS,"[""tests/test_store.py"", ""tests/test_evidence.py"", ""tests/test_cli.py"", ""evidence/runtime/automated-checks.json""]",tsk_f679720e011b1f348518638a955080b3
RC-W04-T03,Reject misleading complete results,Researchers can reject misleading complete results.,integrity and recovery,4,0.1,"[""RC-W04-T01"", ""RC-W04-T02""]","A deliberately bad candidate, absent observation, forged metric or wrong point count cannot improve the accepted comparison.","[""RC-005"", ""RC-006"", ""RC-010"", ""RC-011""]","[""OWNER-LAUNCH-2026-09-07"", ""NUMERICAL-001""]",Crash windows and false assurance from happy-path tests; use process termination and representative mutations on the actual candidate.,AUTOMATED PASS,"[""tests/test_store.py"", ""tests/test_evidence.py"", ""tests/test_cli.py"", ""evidence/runtime/automated-checks.json""]",tsk_eff522416dc5d0522fef7837403834cf
RC-W04-T04,Recover after admission interruption,Researchers can recover after admission interruption.,integrity and recovery,4,0.1,"[""RC-W04-T01"", ""RC-W04-T02"", ""RC-W04-T03""]","Kill after durable admission, reopen, and retain one failed/interrupted attempt with its full charge before an explicit retry.","[""RC-005"", ""RC-006"", ""RC-010"", ""RC-011""]","[""OWNER-LAUNCH-2026-09-07"", ""NUMERICAL-001""]",Crash windows and false assurance from happy-path tests; use process termination and representative mutations on the actual candidate.,RUNTIME VERIFIED,"[""tests/test_store.py"", ""tests/test_evidence.py"", ""tests/test_cli.py"", ""evidence/runtime/automated-checks.json"", ""evidence/runtime/packaged-summary.json""]",tsk_f45c3de618e72c7038f753aa6a7d1a9d
RC-W04-T05,Recover after execution interruption,Researchers can recover after execution interruption.,integrity and recovery,4,0.1,"[""RC-W04-T01"", ""RC-W04-T04""]",Kill after observations but before terminal commit; reconciliation retains diagnostics and cannot duplicate a terminal publication.,"[""RC-005"", ""RC-006"", ""RC-010"", ""RC-011""]","[""OWNER-LAUNCH-2026-09-07"", ""NUMERICAL-001""]",Crash windows and false assurance from happy-path tests; use process termination and representative mutations on the actual candidate.,AUTOMATED PASS,"[""tests/test_store.py"", ""tests/test_evidence.py"", ""tests/test_cli.py"", ""evidence/runtime/automated-checks.json""]",tsk_4647d4c0ea62014f0fc5f39782aa8e20
RC-W04-T06,Recover after artifact staging interruption,Researchers can recover after artifact staging interruption.,integrity and recovery,4,0.1,"[""RC-W04-T01"", ""RC-W04-T05""]",Kill while an artifact is staged; reopening validates or quarantines it and never exposes an incomplete bundle as complete.,"[""RC-005"", ""RC-006"", ""RC-010"", ""RC-011""]","[""OWNER-LAUNCH-2026-09-07"", ""NUMERICAL-001""]",Crash windows and false assurance from happy-path tests; use process termination and representative mutations on the actual candidate.,AUTOMATED PASS,"[""tests/test_store.py"", ""tests/test_evidence.py"", ""tests/test_cli.py"", ""evidence/runtime/automated-checks.json""]",tsk_0ec032514e692a719bdb168758be839e
RC-W04-T07,Fence stale coordinator authority,Researchers can fence stale coordinator authority.,integrity and recovery,4,0.1,"[""RC-W04-T01"", ""RC-W04-T04"", ""RC-W04-T05"", ""RC-W04-T06""]",A second or stale coordinator cannot finalize another owner's attempt; recovery distinguishes a live lease from one assumed dead.,"[""RC-005"", ""RC-006"", ""RC-010"", ""RC-011""]","[""OWNER-LAUNCH-2026-09-07"", ""NUMERICAL-001""]",Crash windows and false assurance from happy-path tests; use process termination and representative mutations on the actual candidate.,AUTOMATED PASS,"[""tests/test_store.py"", ""tests/test_evidence.py"", ""tests/test_cli.py"", ""evidence/runtime/automated-checks.json""]",tsk_9df1c8af826063d8f095f8fd0e79cfae
RC-W04-T08,Keep reproduction capacity separate,Researchers can keep reproduction capacity separate.,integrity and recovery,4,0.1,"[""RC-W04-T01"", ""RC-W04-T07""]",Development and confirmation exhaustion cannot consume reproduction reserves; a fresh rerun records its own attempts and costs.,"[""RC-005"", ""RC-006"", ""RC-010"", ""RC-011""]","[""OWNER-LAUNCH-2026-09-07"", ""NUMERICAL-001""]",Crash windows and false assurance from happy-path tests; use process termination and representative mutations on the actual candidate.,RUNTIME VERIFIED,"[""tests/test_store.py"", ""tests/test_evidence.py"", ""tests/test_cli.py"", ""evidence/runtime/automated-checks.json"", ""evidence/runtime/packaged-summary.json""]",tsk_7140e16703777ccc87a894714b8cb986
RC-W04-T09,Reexecute every exported supported trial,Researchers can reexecute every exported supported trial.,integrity and recovery,4,0.1,"[""RC-W04-T01"", ""RC-W04-T02"", ""RC-W04-T03"", ""RC-W04-T08""]",Fresh policies reproduce complete point/value sequences within the predeclared tolerance; changed inputs or mismatches yield explicit failure records.,"[""RC-005"", ""RC-006"", ""RC-010"", ""RC-011""]","[""OWNER-LAUNCH-2026-09-07"", ""NUMERICAL-001""]",Crash windows and false assurance from happy-path tests; use process termination and representative mutations on the actual candidate.,RUNTIME VERIFIED,"[""tests/test_store.py"", ""tests/test_evidence.py"", ""tests/test_cli.py"", ""evidence/runtime/automated-checks.json"", ""evidence/runtime/packaged-summary.json""]",tsk_dedc8cdc90c692b018e46d9c7b74bef7
